"name","title"
"mohammad_salifur_rahman|mahammad_saifur_rahman","MIN"
"mohammad_aminul_haque","MIN"
"mirza_azizul_islam","GOV"
"mirza_abbas","MIN"
"maulana_matiur_rahman_nizami","MIN"
"matiur_rahman_nizami","MIN"
"matia_chowdhury","MIN"
"manik_lal_samaddar","GOV"
"mainul_hossein","GOV"
"mahbub_jamil","GOV"
"m_tamim","GOV"
"m_shamsul_islam","MIN"
"m_salifur_rahman","MIN"
"m_morshed_khan","MIN"
"m_k_anwar","MIN"
"m_humayun_kabir","AMB"
"m_hafizuddin_ahmed","MIN"
"m_a_matin","GOV"
"m_a_malek","GOV"
"lutfozzaman_babor|lutfozzaman_babar","MIN"
"lutfar_rahman_khan_azad","MIN"
"l_k_siddiqi","MIN"
"khurshid_jahan_haque","MIN"
"khankder_mosharraf_hossain|khandaker_mosharraf_hossain","MIN"
"ismat_jahan","GOV"
"iftekhar_ahmed_chowdhury","GOV"
"hossain_zillur_rahman","GOV"
"harunur_rashid_khan_monno","MIN"
"ghulam_quader","GOV"
"geetiara_safiya_chowdhury","GOV"
"g_m_quader","MIN"
"faruq_khan","MIN"
"fakhruddin_ahmed","GOV"
"enamul_haq_mostafa_shahid","MIN"
"dipu_moni","MIN"
"dilip_barua","MIN"
"debashish_roy","GOV"
"chowdhury_kamal_ibne_yusuf","MIN"
"ayub_quadri","GOV"
"anwarul_iqbal","GOV"
"amir_khasru_mahmud_chowdhury","MIN"
"amanuallah_aman","MIN"
"altaf_hossain_chowdhury|altaf_hossain_choudhury","MIN"
"ali_ahsan_mohammad_mujahid","MIN"
"akramul_qader","AMB"
"akbar_hossain","MIN"
"air_va_k_khandekar","MIN"
"ahmad_tariq_karim","AMB"
"afsarul_amin","MIN"
"abu_maal_abdul_muhith","MIN"
"abdur_razzak","MIN"
"abdul_moyeen_khan","MIN"
"abdul_matin_chowdhury","MIN"
"abdul_mannan_bhuiyan","MIN"
"abdul_latif_siddiqui","MIN"
"abdul_latif_biswas","MIN"
"abdul_kalam_azad","MIN"
